Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t know if a vaccine will work,MS,100277,12600,34705,32170,16246,4557,26110,74167,-,55374,23945,-,20958,-,23946,56973,19358,49467,5505,12390,32915,-,15891,10109,17929,27823,10457,8258,9810,72443,27834,18807,81471,-,73269,27008,-,8295,12390,834,1369,8258,11462,2341,-,55329,50296,16582,6339,17954,-,26100,-,6714,4482,30617,-,7630,-,-,92647,-,24007,22708,9429,-,44133,37898,16878,1369,-,44133,30626,16389,9129,-,44133,39399,11240,5505,-,44133,22052,78226,-,-
Don’t believe I need a vaccine,MS,70631,16691,15734,28922,6918,2366,31785,38846,-,47555,14706,-,8369,-,20112,38374,12145,31067,3020,11518,25026,-,8013,14542,22105,14083,11888,-,-,38797,31834,21198,49433,-,43643,26988,-,14730,7526,2839,-,11390,6274,2341,-,25532,48375,9739,9061,5114,2988,16870,-,5886,-,9016,-,5087,-,-,65544,-,27053,16692,6467,-,20418,47670,-,2543,-,20418,45966,4247,-,-,20418,41461,3221,5531,-,20418,8917,61714,-,-
Don’t like vaccines,MS,19371,-,18688,682,-,-,1413,17957,-,14764,4606,-,-,-,-,14934,4436,6947,-,1413,11011,-,-,682,5337,2341,-,11011,-,18688,682,-,19371,-,8360,11011,-,-,-,-,12424,682,2341,-,-,3924,19371,1413,-,-,-,11693,-,-,-,-,-,-,-,-,19371,-,14764,682,-,-,3924,14033,-,1413,-,3924,14033,1413,-,-,3924,14033,1413,-,-,3924,-,19371,-,-
Doctor has not recommended it,MS,24539,-,-,11165,13374,-,13559,10981,-,4600,9401,-,10538,-,16402,8138,-,-,3020,18683,2836,-,10538,3722,4416,-,5863,-,-,8138,16402,6565,17974,-,2836,21704,-,5863,14076,1580,-,3020,-,-,-,-,23838,6565,-,11240,-,8699,-,-,-,-,-,-,-,-,24539,-,13299,11240,-,-,-,14001,10538,-,-,-,8138,16402,-,-,-,7436,17104,-,-,-,3722,20817,-,-
Plan to wait and see if it is safe,MS,286870,48788,78713,89971,50062,19336,94656,192214,3345,147432,120380,-,15712,15070,107562,139948,24289,143041,7231,41146,95452,-,27825,88451,49553,48848,51373,11011,9810,109774,177096,63730,223140,-,144239,142631,-,58824,49774,13670,14045,12356,15573,3459,2620,116549,160116,32477,31273,42189,8780,72204,7257,46550,4482,53298,-,12717,6976,-,267177,-,112073,93594,6308,-,74895,178825,31099,1369,682,74895,147850,47538,16587,-,74895,155004,47081,9889,-,74895,32650,251600,2620,-
Other people need it more right now,MS,58848,15102,24848,18345,-,553,22692,36156,-,49288,1190,-,8369,-,14135,40143,4570,22467,-,3574,32807,-,4764,6041,13875,11270,11888,11011,-,39674,19174,-,58848,-,35101,23747,-,5505,3020,-,11011,8369,3380,-,-,27562,31285,8332,14566,1190,-,25918,-,5505,-,11806,-,-,-,-,58848,-,32476,-,-,-,26372,32476,-,-,-,26372,26970,-,5505,-,26372,32476,-,-,-,26372,6695,52152,-,-
Concerned about the cost,MS,29193,6041,23152,-,-,-,20935,8258,12514,14298,-,2380,-,-,12514,14298,2380,10638,-,12514,6041,-,-,6041,10638,12514,-,-,-,14895,14298,12514,16679,-,10638,18555,-,8258,-,-,-,-,-,-,-,20935,8258,2380,-,12514,12514,12514,-,-,-,6041,-,-,-,-,29193,-,8258,-,-,-,20935,8258,-,-,-,20935,-,8258,-,-,20935,-,8258,-,-,20935,-,29193,-,-
Don’t trust COVID-19 vaccines,MS,217759,23266,76493,74174,30078,13747,70397,147361,6041,131331,78007,-,2380,39912,37509,109612,30726,71990,11648,56451,77670,-,7383,57462,77517,55480,4482,5625,9810,104379,113380,96928,120831,-,132613,85145,-,89473,12054,2414,2432,25972,4422,2341,2620,76031,106479,22950,20398,23217,8766,83644,1677,30544,4482,48252,-,5087,6976,-,202573,3123,102628,43163,9429,-,62539,142779,8771,2988,682,62539,104993,35740,14487,-,62539,121667,24378,9176,-,62539,33571,178231,2620,3337
Don’t trust the government,MS,131692,24220,53338,28985,23227,1922,54243,77448,12514,76298,35249,-,7630,-,50133,69598,11960,46348,-,46565,38779,-,6137,30053,45616,32446,7630,-,9810,73819,57873,53098,78594,-,72666,59026,-,26517,8978,17114,2782,-,4571,-,2620,69109,58644,8325,2988,31940,18490,33902,-,16207,4482,30749,-,7630,-,-,124061,-,31527,35538,3924,-,60703,62198,3020,5770,-,60703,28607,39394,2988,-,60703,42795,12692,2988,12514,60703,7563,118172,2620,3337
Other,MS,64055,-,2341,50528,6746,4440,48125,15930,6041,52833,5181,-,-,-,39888,19983,4184,46389,-,7499,10167,-,1844,17188,7481,37542,-,-,-,45024,19031,8386,55669,-,51613,12442,-,8454,5136,38911,-,6041,553,2341,-,2620,21548,6108,9631,39842,-,52775,-,8555,-,-,-,-,-,-,64055,-,45931,13159,2345,-,2620,56476,2659,2300,-,2620,54131,6014,1290,-,2620,14288,8314,38833,-,2620,4686,59369,-,-
Did not report,MS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,MO,1160088,120688,398911,321759,196664,122065,641623,518465,80030,869030,163599,19727,27702,110055,448386,390287,211360,641398,64528,150693,303469,-,66140,304206,190966,232491,203517,112803,49965,587205,572883,255617,904471,-,766232,390751,3105,128309,46280,127293,142938,66704,116183,20051,20317,492013,695271,141504,166068,140872,47327,311374,43515,67340,56273,224800,3424,22432,-,23469,1105720,5043,430319,254387,36012,20833,418537,593571,82474,34748,30758,418537,437826,234174,46820,17987,423280,523460,130090,68493,19509,418537,179005,913520,62626,4937
Concerned about possible side effects,MO,471388,50363,179369,121051,55315,65290,244392,226996,7751,372376,60745,15646,14869,73198,123266,156158,118766,243553,11379,62391,154065,-,26925,128946,82642,87132,90447,55297,-,209259,262129,92143,379245,-,333557,134726,3105,77023,45085,48174,46933,27216,40615,6713,11792,167836,306337,54334,102064,77015,16751,150946,7927,46984,26446,58269,3424,-,-,-,464883,3081,155567,135600,30388,10431,139402,251471,43506,13806,23202,139402,196122,87305,33385,10431,144146,195167,74107,52282,10431,139402,111227,360161,-,-
Don’t know if a vaccine will work,MO,183385,3424,101534,18844,53588,5996,104882,78502,-,137794,44944,-,647,-,70079,52456,60850,96631,2178,21738,62838,-,3313,50154,49178,19914,4307,56519,-,87842,95543,54812,128573,-,92361,91024,-,381,10374,3001,84576,2153,10440,4221,5703,62537,127401,20841,38016,20560,13933,56245,31490,7323,-,31874,3424,-,-,-,178480,1481,86640,39520,-,-,57225,110616,13991,1553,-,57225,75204,37399,13557,-,57225,105870,2846,17444,-,57225,20704,135411,27269,-
Don’t believe I need a vaccine,MO,258887,74871,84312,50057,34653,14993,165466,93420,7054,181828,63522,-,6482,-,77923,137983,42980,115548,2289,15834,125216,-,10909,75255,40033,72246,25869,34127,446,111744,147143,69356,189531,-,167956,90931,-,6371,10916,57537,39275,702,31608,2480,8447,101551,143425,22920,5095,14222,-,71512,27269,-,12254,69351,3424,22432,-,-,231069,1962,132988,32065,12254,-,81580,144950,8298,24059,-,81580,120761,44292,12254,-,81580,141569,10087,25651,-,81580,52413,179204,27269,-
Don’t like vaccines,MO,43704,-,11004,24695,5044,2962,17176,26528,-,19194,24510,-,-,-,-,28099,15605,41606,-,-,2098,-,2921,8654,9533,-,18818,-,3778,27909,15796,32129,11575,-,38661,5044,-,-,2098,19641,-,-,8654,4221,-,9090,14973,9533,11004,5312,4221,23942,4221,-,-,4601,-,-,-,-,43704,-,12875,30829,-,-,-,37198,6507,-,-,-,31693,2098,9913,-,-,38289,1195,4221,-,-,4221,39484,-,-
Doctor has not recommended it,MO,41501,-,10405,11051,5952,14093,14134,27367,-,35969,5532,-,-,9578,-,13574,18349,25278,9578,5093,1553,-,823,10869,5312,5093,13885,5519,-,30632,10869,12397,29105,-,15151,26350,-,12540,5519,1646,1553,-,-,-,4307,15937,16388,13404,7687,10405,-,21013,-,15097,-,823,-,-,-,-,41501,-,22395,8481,-,-,10625,25565,5312,-,-,10625,22395,8481,-,-,10625,15779,15097,-,-,10625,14931,26570,-,-
Plan to wait and see if it is safe,MO,368797,83064,118559,50404,85802,30968,183077,185720,5144,286242,68815,-,8595,1600,186310,96908,83978,144252,13153,51717,159675,-,18773,123828,39153,51424,46102,80524,8992,175869,192928,88513,280284,-,228429,140368,-,58502,19263,39645,45413,8198,31664,8340,2456,155315,208931,43658,101927,34469,25285,108554,6374,22798,3063,96179,3424,22432,-,-,341340,1600,129243,86519,7567,-,145468,180517,32122,10690,-,145468,117412,99339,6578,-,145468,130102,64864,28248,115,145468,84925,280636,3235,-
Other people need it more right now,MO,183984,-,125209,48655,8528,1593,115327,68657,31222,143622,3924,-,5215,9637,63545,66832,43970,109926,1593,13282,59184,-,6965,7225,57939,39491,32868,39496,-,121481,62503,67742,116242,-,140239,43745,-,20157,6410,3924,41876,6111,4914,6701,2744,91147,113636,14748,46316,15832,6982,70028,38855,10520,14381,29316,-,-,-,-,183984,-,63760,34389,4744,-,81091,80412,22480,-,-,81091,39823,50968,7358,-,85835,83461,10468,8964,-,81091,34776,119471,29738,-
Concerned about the cost,MO,45760,22432,15832,4066,3430,-,27744,18015,2607,43153,-,-,-,-,32952,5918,6889,8742,-,13831,23186,-,754,25862,5312,-,3311,10520,-,19966,25793,5312,40447,-,31056,14704,-,36264,-,823,754,-,-,-,-,7919,26566,6135,39841,15832,-,37086,-,13831,-,2607,-,-,-,-,45760,-,16655,26498,-,-,2607,34529,8624,-,-,2607,6135,37018,-,-,2607,19966,23186,-,-,2607,25039,20720,-,-
Don’t trust COVID-19 vaccines,MO,350724,-,105657,102164,94908,47996,156930,193794,11972,236743,93543,-,8466,45385,141835,89343,74161,269460,8550,22613,50101,-,8867,130433,37159,66418,61278,42790,3778,152853,197871,54535,296189,-,220476,130248,-,4780,14103,58118,61570,9924,36843,11244,5703,148440,234379,51406,49184,56750,4221,54479,4221,12103,9151,52494,-,-,-,-,347643,3081,134066,83434,-,-,133225,166001,26923,11805,12771,133225,167371,38124,12005,-,133225,146898,36592,34010,-,133225,42831,307893,-,-
Don’t trust the government,MO,384108,24507,103003,127332,87902,41364,216823,167285,41980,250483,82266,-,9379,68854,150558,112745,51951,219997,30438,48843,84829,-,17333,112407,48991,60565,56774,54160,33878,170338,213770,69714,314394,-,198485,185622,-,1517,2974,48760,62102,23157,37845,11244,11887,184622,207153,33522,29039,72839,20683,74219,4221,11407,31096,97706,-,-,-,23469,359038,1600,114787,101589,12254,7556,147922,186399,18172,24059,7556,147922,137509,58771,32349,7556,147922,168998,18081,41551,7556,147922,57439,292078,29653,4937
Other,MO,228860,10271,74287,98247,39948,6107,95211,133649,6531,190398,24884,1235,5811,1600,77662,109956,39642,157100,1593,33955,36213,-,4670,56566,59374,32617,53088,11671,10874,105019,123840,36911,191949,-,168613,60247,-,5679,7539,43978,27919,20193,31770,6750,-,85032,142711,22450,20043,9819,-,45688,3107,13934,20284,28494,-,-,-,-,227259,1600,92733,66053,14643,-,55430,153716,7460,12254,-,55430,127015,34161,12254,-,55430,137459,4633,29932,1407,55430,45583,178340,-,4937
Did not report,MO,22067,2846,15271,2468,-,1481,14339,7728,-,19221,-,2846,-,-,-,19221,2846,12858,-,6363,2846,-,4327,7351,-,-,10389,-,-,10389,11678,1481,20586,-,20586,1481,-,-,-,-,-,-,-,2468,-,19599,5315,-,4882,-,-,4882,-,-,-,11870,-,-,-,-,22067,-,2468,-,-,2846,16752,5315,-,-,-,16752,2468,2846,-,-,16752,5315,-,-,-,16752,2468,19599,-,-
Total,MT,286335,15853,95401,102349,43248,29484,151099,135236,19354,244680,3882,319,18101,42287,101537,98491,44021,174178,2019,38249,71004,887,20877,71662,61069,59762,17334,12536,43095,161368,124967,36919,249416,-,208570,76144,1621,37672,23251,21564,28605,57629,28918,3157,9249,76290,193947,46053,45506,26829,3154,73759,8398,17312,8308,33885,3338,2935,2410,1076,278615,2265,144972,55768,18426,1076,66094,186522,26571,6072,1076,66094,140328,53936,24902,1076,66094,170667,37850,10648,1076,66094,33238,251719,1378,-
Concerned about possible side effects,MT,120096,7011,47308,35412,22667,7698,41174,78921,4769,110339,2923,319,1745,3292,47607,39233,29964,79476,319,12443,27858,-,4993,34130,38092,24661,7985,5352,4884,63750,56346,20383,99712,-,89197,29277,1621,12345,11584,13271,12991,23116,8687,2071,1621,34410,76288,17553,25054,12860,2606,28755,3006,2846,3481,20975,-,1859,1334,-,115524,1378,46805,34685,6648,-,31958,69483,15890,2764,-,31958,46691,25605,15842,-,31958,58722,24991,4424,-,31958,12009,108086,-,-
Don’t know if a vaccine will work,MT,46665,5441,12380,8099,13847,6898,25511,21154,3627,41612,-,319,1107,-,24393,12603,9669,30914,-,6239,9511,-,3847,12689,7788,11954,2668,319,7399,23867,22797,7611,39053,-,33801,12863,-,1619,11497,5235,946,2338,7485,1672,1475,14397,34137,11858,8315,9068,-,9926,-,1058,479,6476,-,876,-,-,45789,-,25568,11592,479,-,9026,34308,1385,1946,-,9026,20447,6764,10428,-,9026,23161,13740,738,-,9026,11619,35046,-,-
Don’t believe I need a vaccine,MT,77414,2888,14657,36496,12623,10750,57310,20104,1206,72546,959,319,2384,16591,27513,19192,14118,54480,670,5646,15731,887,7931,19140,10203,16008,1642,1838,20651,40612,36802,8991,68423,-,67084,10330,-,5940,479,3250,6051,19455,10977,1672,2739,26850,54260,5102,6451,2668,-,14287,-,3569,3915,14279,-,1859,-,-,73290,2265,40665,10798,479,-,25472,47561,2436,1946,-,25472,43621,7203,1118,-,25472,42614,8883,445,-,25472,12254,63782,1378,-
Don’t like vaccines,MT,36373,4620,18168,6614,4856,2116,31285,5088,-,35575,-,319,479,6282,19269,9252,1571,10860,-,9979,15534,-,3080,10948,6312,4414,-,5338,6282,16513,19861,10266,26108,-,27552,8821,-,1031,479,6066,1698,586,6282,1088,3393,15751,18716,399,7441,399,-,13196,399,765,479,11923,-,-,-,-,36373,-,18793,1351,479,-,15751,14618,6004,-,-,15751,13906,6237,479,-,15751,19862,316,445,-,15751,1031,35342,-,-
Doctor has not recommended it,MT,21313,-,5630,6884,3627,5172,15028,6285,4434,16879,-,-,-,4434,2594,10981,3304,8881,-,7083,5349,-,3433,1621,5606,1492,1334,3393,4434,11963,9350,4110,17203,-,16624,4689,-,445,903,2158,3686,-,2293,689,4110,7028,18868,6070,4154,3393,-,5249,-,445,293,1621,-,-,-,-,21313,-,9136,5148,-,-,7028,14285,-,-,-,7028,9113,5172,-,-,7028,12328,1218,738,-,7028,954,20359,-,-
Plan to wait and see if it is safe,MT,113822,13632,40512,46662,8403,4612,46710,67112,3627,106002,-,319,3873,4445,33387,44993,30996,72479,-,11647,29695,-,4819,22193,31983,35081,10376,9369,-,78100,35722,8045,105777,-,90417,23404,-,13757,15666,9801,6119,39637,7903,2071,2339,16529,87161,26352,17038,17468,1976,32087,399,4822,2201,10938,-,876,1334,-,111612,-,67245,30433,631,-,15512,81062,14483,2764,-,15512,62042,29307,6960,-,15512,80043,17528,738,-,15512,13014,100808,-,-
Other people need it more right now,MT,33407,2001,10147,11229,3911,6119,12130,21276,-,31810,-,-,1597,-,16026,10792,6588,20538,-,7619,5249,-,2696,2809,14498,4787,2429,1241,4947,24040,9367,1544,31863,-,26174,7232,-,2001,903,7950,602,9283,5932,1275,-,5460,27430,6032,2693,2001,-,6303,958,-,631,2354,-,-,-,-,33407,-,15104,11207,1637,-,5460,18406,9541,-,-,5460,21661,5648,639,-,5460,24792,3155,-,-,5460,8387,25020,-,-
Concerned about the cost,MT,10319,-,4107,3712,1621,879,319,10000,3627,5893,-,319,479,-,8641,799,879,7925,-,1621,772,-,293,5728,3393,586,-,319,-,1385,8934,4692,5626,-,2979,7340,-,3393,4107,1621,612,586,-,-,-,-,879,1914,7020,3627,-,319,-,319,772,-,-,-,-,-,10319,-,293,6153,3873,-,-,8934,1385,-,-,-,2233,586,7500,-,-,1385,5248,3686,-,-,-,10319,-,-
Don’t trust COVID-19 vaccines,MT,110256,5441,21108,58401,22575,2732,77062,33194,635,105861,-,319,3441,20149,38092,41383,10632,73511,319,13189,23237,-,5673,23770,14944,41518,1334,7314,15704,70676,39580,13689,96567,-,91283,17352,1621,9212,7641,4743,5383,36959,6558,2071,717,36972,78590,18658,12169,9899,1976,10368,399,1922,1719,16996,-,1859,-,-,108397,-,56161,15921,7500,-,30675,73792,3025,2764,-,30675,54366,11636,13579,-,30675,65326,10124,4131,-,30675,12923,95955,1378,-
Don’t trust the government,MT,74942,4620,21474,18642,14978,15229,54139,20803,9188,59269,-,-,6485,14969,32091,19047,8835,36397,319,11094,27132,-,4792,22491,10646,12425,-,9697,14891,41145,33797,10189,64753,-,53708,21234,-,9502,2875,6881,11679,2289,11606,689,1475,27947,41391,11546,8153,4060,1157,19758,4434,6037,2187,13506,1076,2059,1076,1076,72581,1378,33678,8303,8541,1076,23344,42888,5688,1946,1076,23344,28463,13518,8541,1076,23344,41778,3865,4879,1076,23344,14995,59947,-,-
Other,MT,53589,2904,15772,19681,7985,7247,25897,27692,823,42422,-,319,10025,818,20191,24329,8251,28038,1349,11446,12756,-,5410,19336,16669,7159,-,2605,2410,16353,37236,5593,47996,-,35040,18549,-,12835,4016,2995,9118,1543,3038,1086,4741,14217,38783,9648,10090,5734,1366,12975,-,4940,4580,3883,3338,1952,1076,1076,50451,-,26143,6486,8097,1076,11787,29232,7367,4126,1076,11787,22874,12981,4871,1076,11787,30522,5908,4296,1076,11787,5711,47878,-,-
Did not report,MT,887,-,-,-,-,887,887,-,887,-,-,-,-,-,887,-,-,887,-,-,-,-,887,-,-,-,-,-,-,-,887,-,887,-,-,887,-,-,-,-,-,-,887,-,-,-,-,887,-,-,-,-,-,-,-,-,-,-,-,-,887,-,887,-,-,-,-,887,-,-,-,-,-,887,-,-,-,-,-,887,-,-,-,887,-,-
Total,NE,344307,54807,118130,110365,38142,22863,210702,133605,27766,284417,10959,3689,17476,11962,133770,129991,68584,167830,8283,59869,108326,-,20510,82934,77646,52606,40098,36442,34072,199097,145210,70549,273758,-,258695,85612,-,56880,14089,53376,38988,21190,17149,19133,7472,116031,218081,81733,59994,34984,6829,97840,26140,9843,13219,50381,-,-,-,4176,340132,-,185060,63987,6495,-,88765,227417,27460,665,-,88765,171548,79041,4953,-,88765,186780,48443,17328,2991,88765,70784,272214,1309,-
Concerned about possible side effects,NE,198412,38937,69677,58955,19422,11421,115599,82813,6326,167899,9068,3689,11430,10621,102828,55505,29457,69169,1752,35511,91980,-,15012,38005,49114,27652,27713,16660,24256,112800,85612,53166,145246,-,144831,53581,-,34895,9341,28185,19686,12403,9735,11482,3616,69070,123388,39908,25471,27963,4938,63609,4240,9459,2555,36643,-,-,-,-,198412,-,99313,46487,5423,-,47188,130309,20250,665,-,47188,99085,49981,2158,-,47188,102645,36970,8618,2991,47188,36238,160865,1309,-
Don’t know if a vaccine will work,NE,67380,2991,37316,14784,2403,9887,48250,19130,2991,57398,1891,-,5099,-,31832,26740,8809,26035,-,8567,32779,-,5966,15327,17280,4920,18126,1757,4005,33647,33733,8108,59272,-,50420,16961,-,9204,781,10040,13344,687,1820,8411,2556,20538,50223,3772,1621,14018,3243,19396,-,1352,2555,6095,-,-,-,-,67380,-,33001,16159,-,-,18220,41260,7235,665,-,18220,32938,16222,-,-,18220,39467,6702,-,2991,18220,18175,47896,1309,-
Don’t believe I need a vaccine,NE,116249,17707,43343,35304,9599,10296,99925,16324,2485,101483,-,3689,8592,-,51678,41697,22874,42934,1523,22435,49356,-,4342,36917,17604,6692,26063,18839,5792,62342,53907,28575,87674,-,94636,21613,-,14797,1523,30264,6782,3887,10156,10965,3616,34258,83820,40914,22335,5607,-,18818,20618,665,1224,2501,-,-,-,1891,114357,-,90758,12674,-,-,12817,92728,10038,665,-,12817,93827,7901,1704,-,12817,83539,18833,1060,-,12817,12735,102205,1309,-
Don’t like vaccines,NE,90860,26063,26007,22372,9399,7019,66744,24116,-,84500,6360,-,-,5088,56044,25568,4161,15515,1523,25426,48397,-,6451,23071,18801,1539,9847,14018,17133,53065,37796,25350,65510,-,76017,14843,-,13098,2720,24716,13643,-,927,-,1912,33844,47578,34636,16378,14018,-,22741,20618,5088,1197,13661,-,-,-,-,90860,-,59828,10492,1272,-,19268,64141,7451,-,-,19268,53343,16978,1272,-,19268,61658,7602,2332,-,19268,10861,80000,-,-
Doctor has not recommended it,NE,43235,14018,22731,5928,-,559,28594,14641,1341,34915,5088,-,1891,5088,30537,2889,4721,10807,1160,-,31268,-,1160,1843,3625,3484,14018,14018,5088,40565,2670,23117,20119,-,33178,10058,-,5088,1891,-,-,-,927,8411,2284,24634,34876,16302,-,5607,-,7906,-,5088,-,1825,-,-,-,-,43235,-,30335,2843,-,-,10058,32619,559,-,-,10058,29002,4176,-,-,10058,32619,559,-,-,10058,927,42308,-,-
Plan to wait and see if it is safe,NE,142479,24919,56239,43870,6868,10583,81489,60990,15663,106344,9940,3689,6843,11962,63446,36439,30631,67872,2886,26158,45564,-,11853,29641,40523,23710,9262,4210,23279,82024,60455,24912,117567,-,107952,34527,-,32762,7990,17600,21469,4238,6817,3417,3337,44848,81349,25604,27861,16980,6143,60928,5521,7161,4902,30880,-,-,-,2284,140195,-,61782,40848,1979,-,37870,89717,14892,-,-,37870,55548,47405,1656,-,37870,75361,15017,11240,2991,37870,38140,103030,1309,-
Other people need it more right now,NE,61665,14389,26842,16023,2445,1967,50628,11037,3335,52432,-,-,5898,5533,20129,27755,8247,18677,365,7123,35501,-,6839,5461,16215,13863,7997,11289,-,36982,24683,14884,46781,-,48477,13188,-,4816,1704,4070,13316,1613,3680,918,852,30697,39497,12522,4813,15234,687,19425,-,1352,1224,10935,-,-,-,-,61665,-,16655,15307,1957,-,27745,28336,4919,665,-,27745,17186,15848,886,-,27745,23118,10437,365,-,27745,20016,41649,-,-
Concerned about the cost,NE,11100,-,6324,4775,-,-,7281,3819,5439,5661,-,-,-,-,3672,6500,927,8907,-,-,2193,-,852,-,3672,4763,927,886,-,10248,852,3744,7356,-,8167,2933,-,-,-,852,2331,-,-,-,-,7916,9321,1738,1738,852,665,2403,-,-,-,927,-,-,-,-,11100,-,2331,1517,886,-,6365,3849,886,-,-,6365,2331,1517,886,-,6365,3849,886,-,-,6365,852,10248,-,-
Don’t trust COVID-19 vaccines,NE,133589,38276,51880,26617,7782,9034,89436,44154,7760,106946,2960,3689,12234,5533,79083,29686,19287,42728,-,15326,75535,-,3885,21460,35224,20071,20304,14808,17837,82459,51130,31619,101971,-,101532,32058,-,23768,-,9302,15970,3887,7213,10965,1912,60572,93171,25202,8537,16012,3224,33890,-,2354,1994,27241,-,-,-,-,133589,-,73775,18014,1272,-,40528,85856,6540,665,-,40528,73454,18335,1272,-,40528,73709,12036,4326,2991,40528,24897,107383,1309,-
Don’t trust the government,NE,117205,31348,49029,18036,4773,14020,91286,25919,9293,94685,-,3689,9538,5533,61348,30078,20245,37093,3643,9102,67367,-,3834,25937,30242,12849,19789,17367,7187,65725,51480,34485,82720,-,88798,28407,-,16683,2304,10926,18329,3887,6332,10014,-,48730,84659,23490,10189,14018,2559,30444,-,665,3680,15116,-,-,-,-,117205,-,62837,24703,707,-,28958,77928,9653,665,-,28958,70032,18215,-,-,28958,72925,12330,-,2991,28958,28739,87156,1309,-
Other,NE,75014,15227,31680,16922,6124,5061,37245,37770,3182,66555,1272,-,4005,-,37516,14101,23397,36188,1523,687,36616,-,4844,3785,17908,6822,15963,4663,21030,51092,23922,5888,69126,-,59676,15338,-,15032,2230,7588,4531,6521,927,11726,3075,23385,54676,6752,6583,4663,665,19408,-,687,4663,13159,-,-,-,-,75014,-,38759,11557,1979,-,22720,49500,2795,-,-,22720,38759,11557,1979,-,22720,32182,14177,5935,-,22720,19500,54205,1309,-
Did not report,NE,3684,2559,-,-,-,1126,1126,2559,-,3684,-,-,-,-,-,3684,-,1126,-,-,2559,-,-,3684,-,-,-,-,-,-,3684,-,3684,-,3684,-,-,2559,-,-,1126,-,-,-,-,-,3684,1126,2559,-,-,2559,-,-,-,-,-,-,-,-,3684,-,3684,-,-,-,-,2559,1126,-,-,-,1126,2559,-,-,-,3684,-,-,-,-,1126,2559,-,-
Total,NV,629712,72933,190357,227237,79054,60131,293035,336678,153867,336929,61474,30758,46684,72526,214207,228331,114648,261884,6043,133401,219221,9163,29508,146215,138054,90879,76856,51604,96595,320074,309638,190373,439339,-,373785,255927,-,97890,42097,35338,36104,56270,54843,38799,16879,251492,331448,88532,99046,41230,68165,144706,28360,55273,37994,118424,5302,18121,1105,1234,598011,5939,262659,126170,21743,-,219140,369381,37830,3362,-,219140,254619,138423,17531,-,219140,299871,79941,30761,-,219140,101743,510570,17399,-
Concerned about possible side effects,NV,342800,57227,111742,106838,43672,23322,124158,218642,77863,195795,43261,4763,21118,34779,133682,125907,48431,129592,4045,60806,141292,7066,14412,70400,77984,69136,46104,33042,31723,203034,139766,77271,265529,-,186488,156312,-,41575,34340,18314,25665,15639,34839,9757,9056,153615,152802,44154,58867,18606,37834,68433,28360,34210,18713,89681,-,-,1105,1234,335208,5253,129046,62985,12994,-,137776,183855,17807,3362,-,137776,114866,78127,12031,-,137776,140800,37103,27121,-,137776,65719,260835,16246,-
Don’t know if a vaccine will work,NV,132632,26393,29666,59454,12696,4423,94094,38538,36184,79393,2074,-,14981,9387,63693,30691,28861,72195,-,9617,50820,-,4855,29645,14837,40703,3223,18490,20879,82245,50387,37626,95006,-,108455,24177,-,13173,16863,3307,866,13044,14474,23322,4720,42864,87648,11698,18060,1372,9810,11012,9156,10321,-,17368,-,18121,-,-,114511,-,68996,25893,3307,-,34436,90481,7715,-,-,34436,32878,62011,3307,-,34436,69086,9040,20070,-,34436,26900,97270,8462,-
